year,age,sex,qx_annual
2017,38,F,0.00064
2017,39,F,0.000625
2017,40,F,0.000682
2017,41,F,0.000771
2017,42,F,0.000866
2017,43,F,0.000989
2017,44,F,0.001037
2017,45,F,0.001231
2017,46,F,0.001331
2017,47,F,0.001512
2017,48,F,0.001705
2017,49,F,0.001742
2017,50,F,0.002026
2017,51,F,0.00224
2017,52,F,0.002392
2017,53,F,0.002561
2017,54,F,0.002842
2017,55,F,0.00307
2017,56,F,0.003336
2017,57,F,0.003693
2017,58,F,0.003809
2017,59,F,0.004228
2017,60,F,0.004615
2017,61,F,0.004816
2017,62,F,0.005266
2017,63,F,0.00538
2017,64,F,0.005777
2017,65,F,0.006136
2017,66,F,0.006616
2017,67,F,0.006959
2017,68,F,0.007555
2017,69,F,0.008227
2017,70,F,0.00905
2017,71,F,0.009611
2017,72,F,0.011009
2017,73,F,0.011783
2017,74,F,0.0128
2017,75,F,0.014214
2017,76,F,0.016063
2017,77,F,0.018285
2017,78,F,0.020446
2017,79,F,0.02282
2017,80,F,0.026462
2017,81,F,0.030464
2017,82,F,0.035507
2017,83,F,0.041246
2017,84,F,0.049062
2017,85,F,0.056829
2017,86,F,0.06677
2017,87,F,0.077946
2017,88,F,0.088845
2017,89,F,0.103138
2017,90,F,0.12039
2017,91,F,0.136765
2017,92,F,0.156252
2017,93,F,0.179014
2017,94,F,0.203441
2017,95,F,0.227098
2017,96,F,0.258032
2017,97,F,0.272413
2017,98,F,0.320362
2017,99,F,0.33487
2017,00,F,0.364647
2017,01,F,0.397592
2017,02,F,0.459833
2017,03,F,0.488948
2017,04,F,0.613622
2017,05,F,0.804126
2017,06,F,0.905014
2017,07,F,1.032785
2017,08,F,1.153145
2017,09,F,1.303616
2017,10+,F,1.638947
2018,0,F,0.003438
2018,1,F,0.000224
2018,2,F,0.000139
2018,3,F,0.000124
2018,4,F,9.1e-05
2018,5,F,7.4e-05
2018,6,F,9.4e-05
2018,7,F,5.3e-05
2018,8,F,6.8e-05
2018,9,F,5.9e-05
2018,10,F,8.4e-05
2018,11,F,3.8e-05
